"","estado","coeficiente","coeficiente.sd"
"1","San Luis Potosí",-0.777609794619259,0.433422797543405
"2","Querétaro",-0.758237679742641,0.433373110340715
"3","Chiapas",-0.743066889964202,0.432551896434176
"4","Tamaulipas",-0.638394213549079,0.432279268846699
"5","Nayarit",-0.592185275584743,0.434107736268797
"6","Chihuahua",-0.548792217402868,0.433116023355599
"7","Aguascalientes",-0.542139910318898,0.433816817625359
"8","Baja California Sur",-0.528785542336418,0.43419391110186
"9","Baja California",-0.521894340498934,0.432928894541807
"10","Yucatán",-0.48356408370237,0.432566969911749
"11","Durango",-0.463361771604582,0.433425890090449
"12","Jalisco",-0.448651516641456,0.432226792649921
"13","Quintana Roo",-0.429023211519087,0.432473919078696
"14","Veracruz de Ignacio de la Llave",-0.410933084575082,0.432359421648296
"15","Sinaloa",-0.400632991959241,0.433076506342171
"16","Guanajuato",-0.385550368064306,0.4329841655113
"17","Colima",-0.383776756359327,0.433000241633352
"18","Tabasco",-0.357735702648848,0.43280093705864
"19","México",-0.341760454109892,0.433029125633657
"20","Zacatecas",-0.337122893667279,0.433302309204105
"21","Michoacán de Ocampo",-0.336134078444367,0.433199392808031
"22","Distrito Federal",-0.332666039601048,0.432498580814902
"23","Morelos",-0.33169383060169,0.432601502304353
"24","Hidalgo",-0.317846484533545,0.433266856083317
"25","Nuevo León",-0.199096470921837,0.433200748237243
"26","Tlaxcala",-0.162127970779694,0.431681255131374
"27","Campeche",-0.14795405525104,0.435637833299992
"28","Guerrero",-0.0973798478909395,0.434056315254732
"29","Puebla",-0.0723183511097052,0.433144086126686
"30","Coahuila de Zaragoza",0.103169579156526,0.433172223179283
"31","Sonora",0.132472701520344,0.433422755384245
